pH,DO,BOD,Conductivity,Nitrate,Fecal_Coliform,Turbidity,Potability
8.0,9.0,0.1,85.0,0.2,106.0,3.258728343087572,1
8.0,9.0,0.3,102.0,0.4,153.0,3.745824045423671,1
8.0,9.0,0.2,96.0,0.3,58.0,1.9847158465307833,1
8.0,9.0,0.2,94.0,0.4,34.0,2.885716148223886,1
8.0,10.0,0.2,112.0,0.5,213.0,1.548325856990926,1
8.0,9.0,0.2,117.0,0.5,100.0,2.6157001481233513,1
8.0,9.0,0.5,155.0,0.7,445.0,4.277766565822246,1
8.0,8.0,0.5,211.0,0.5,7.0,3.069582560674141,1
8.0,8.0,0.6,202.0,0.4,9.0,4.247820646401502,1
8.0,8.0,0.7,280.0,1.1,10.0,3.943746580525148,1
8.0,8.0,0.5,177.0,0.4,7.0,3.5187977400556845,1
8.0,8.0,0.0,285.0,0.8,3.0,3.3819084650554516,1
8.0,7.0,1.0,316.0,1.6,95.0,3.98425707710813,1
7.0,7.0,1.0,334.0,2.0,158.0,3.7166138397468473,1
8.0,8.0,0.5,177.0,0.6,66.0,3.1734918406712955,1
7.0,7.0,1.0,334.0,1.0,370.0,3.7166138397468473,1
7.0,7.0,0.8,317.0,1.8,133.0,4.562782668781685,1
7.0,7.0,1.0,310.0,2.0,180.0,4.551595036660426,1
7.0,7.0,0.7,320.0,1.8,185.0,3.8925061761609805,1
8.0,7.0,1.0,304.0,1.5,130.0,3.4179628049146102,1
8.0,9.0,0.2,74.0,0.4,189.0,4.486510865186259,1
8.0,9.0,0.2,114.0,0.3,130.0,2.2909376895456752,1
8.0,9.0,0.2,96.0,0.5,62.0,1.947783312704955,1
8.0,8.0,0.3,288.0,0.1,63.0,3.924248781661047,1
8.0,8.0,0.4,268.0,0.1,76.0,3.746601104486346,1
8.0,9.0,0.0,208.0,0.0,85.0,2.917755023230776,1
8.0,8.0,0.6,209.0,0.3,126.0,3.112731535007619,1
8.0,8.0,0.7,219.0,0.2,204.0,2.976243039533581,1
8.0,8.0,0.4,355.0,0.3,89.0,3.1593054439956543,1
8.0,10.0,0.2,225.0,0.6,159.0,1.7787603537162446,1
8.0,10.0,0.5,214.0,0.7,207.0,3.226409485167232,1
8.0,9.0,0.5,202.0,0.3,14.0,4.45514084037804,1
8.0,8.0,2.7,272.0,1.9,305.0,4.544209274288669,1
8.0,8.0,2.7,272.0,1.9,305.0,4.544209274288669,1
8.0,7.0,11.0,442.0,5.3,1275.0,4.283346908046418,1
7.0,7.0,2.0,279.0,2.0,178.0,4.152150198751217,1
7.0,7.0,3.3,336.0,3.3,637.0,3.877362630803245,1
8.0,7.0,2.4,288.0,2.0,433.0,3.924248781661047,1
7.0,7.0,2.0,284.0,4.0,12975.0,3.7709122399185526,1
7.0,4.0,22.0,388.0,12.0,29000.0,3.4315047183419933,1
7.0,6.0,2.7,326.0,6.0,2500.0,4.150061950989486,1
7.0,4.0,5.0,556.0,5.0,22000.0,4.401619219850184,1
7.0,7.0,2.5,279.0,3.0,95.0,4.152150198751217,1
7.0,7.0,2.0,283.0,3.0,105.0,4.160595668682933,1
7.0,5.0,3.0,494.0,2.7,403.0,4.501506843429636,1
8.0,8.0,0.5,155.0,0.5,9.0,2.1294927276450943,1
8.0,9.0,0.5,141.0,0.4,6.0,3.0041780320118963,1
8.0,9.0,0.5,158.0,0.4,7.0,2.0967105968066693,1
8.0,9.0,0.4,137.0,0.3,4.0,3.3161369674949412,1
8.0,10.0,0.5,190.0,0.6,9.0,3.5787322210035506,1
8.0,8.0,0.7,167.0,0.7,10.0,2.898711610554199,1
8.0,9.0,0.2,84.0,0.3,125.0,2.1477953734293993,1
8.0,9.0,0.1,65.0,0.3,27.0,2.880096809069231,1
8.0,9.0,0.2,62.0,0.3,43.0,3.2407726958761005,1
8.0,9.0,0.2,101.0,0.4,53.0,2.518964234363685,1
8.0,8.0,2.1,364.0,1.3,26.0,3.566609085154517,1
8.0,9.0,2.0,622.0,0.8,23.0,3.819804216569022,1
8.0,8.0,1.3,583.0,1.2,30.0,3.7937631031230437,1
8.0,8.0,1.2,443.0,1.0,14.0,4.952222233386774,1
8.0,9.0,0.4,155.0,0.5,6.0,2.1294927276450943,1
8.0,6.0,5.0,209.0,1.0,204.4,3.3760159027771026,1
8.0,8.0,1.1,233.0,0.9,773.0,4.699227213330639,1
8.0,8.0,0.5,99.0,0.5,11.0,2.35670852159135,1
8.0,8.0,0.4,129.0,0.6,6.0,3.2269357319103755,1
8.0,8.0,0.2,197.0,0.1,39.0,2.8286153941874694,1
8.0,8.0,0.3,136.0,0.1,25.0,3.104403107375523,1
8.0,8.0,4.0,184.0,1.0,6174.6,3.1589049335295227,1
8.0,8.0,2.0,240.0,1.0,889.0,1.2128880073640316,1
7.0,8.0,5.0,152.0,1.0,195.4,3.7852991691891065,1
8.0,6.0,5.0,172.0,1.0,167.6,3.494652364272361,1
7.9,8.5,2.226,95.0,0.15,6617.2,4.696821051197098,1
8.0,9.6,1.566,145.0,0.08,2500.0,4.277766565822246,0
8.0,8.8,1.546,115.0,0.08,1800.0,4.277766565822246,0
8.1,9.3,0.7,150.0,0.08,16650.0,4.277766565822246,0
8.1,9.1,1.2,141.0,0.09,5100.0,4.277766565822246,0
8.0,8.6,1.0,135.0,0.06,650.0,4.277766565822246,0
8.1,8.7,0.7,132.0,0.08,27650.0,4.277766565822246,0
7.7,9.1,1.7,121.0,0.08,6635.6,2.9658722990520547,1
7.7,7.8,4.5,305.0,0.08,800.0,3.768178461672867,1
7.6,6.7,5.6,196.0,0.08,1150.0,4.277766565822246,1
7.8,8.3,2.5,157.0,0.08,8.0,2.1294927276450943,1
7.4,8.2,3.4,221.0,0.5,1162.0,4.494793555605671,1
7.4,8.4,2.8,196.0,0.21,673.0,4.277766565822246,1
7.6,8.3,3.6,230.0,0.23,783.0,4.55049107468378,1
7.5,8.7,3.1,189.0,0.23,420.0,4.277766565822246,1
7.4,8.3,3.7,206.0,0.28,840.0,4.277766565822246,1
8.0,7.9,4.5,327.0,2.25,3042.0,3.1591316890904757,1
8.0,7.8,5.5,324.0,2.25,3508.0,4.26749373287669,0
8.2,8.7,4.0,510.0,1.7,1700.0,4.405964022741381,0
8.2,8.6,4.3,316.0,2.03,6667.0,3.98425707710813,0
8.0,6.9,8.4,381.0,2.77,38942.0,4.157029485729462,1
7.9,7.8,3.8,281.0,0.85,5300.0,3.730334813419867,1
7.8,7.7,3.8,261.0,0.84,4980.0,3.9080203617839,1
8.0,7.2,4.2,387.0,1.71,3358.0,3.8724163915842604,0
7.9,7.6,3.6,374.0,1.65,2492.0,3.559921561526327,1
8.0,7.2,4.0,450.0,1.61,3408.0,3.992678029934195,1
8.0,8.7,3.7,387.0,1.96,332.0,3.8724163915842604,0
7.8,7.7,3.6,396.0,2.29,2377.0,3.7284357615659665,1
7.6,7.6,3.9,250.0,1.71,8000.0,4.189429218875214,1
8.0,7.1,8.0,272.0,1.71,40000.0,4.544209274288669,1
